,Wrestler,2013 Wins,2013 Losses,2013 Draws,2014 Wins,2014 Losses,2014 Draws,2015 Wins,2015 Losses,2015 Draws,2016 Wins,2016 Losses,2016 Draws
182,Neville,,,,,,,116.0,38.0,0.0,78.0,26.0,0.0
183,Kevin Owens,,,,,,,63.0,85.0,4.0,61.0,130.0,2.0
184,King Barrett,,,,,,,22.0,65.0,0.0,3.0,14.0,0.0
185,Blake,,,,,,,31.0,51.0,0.0,2.0,31.0,1.0
186,Murphy,,,,,,,32.0,50.0,0.0,2.0,31.0,1.0
187,D-Von Dudley,,,,,,,36.0,29.0,1.0,19.0,77.0,0.0
188,Bubba Ray Dudley,,,,,,,36.0,28.0,1.0,21.0,72.0,0.0
189,Braun Strowman,,,,,,,30.0,26.0,1.0,65.0,53.0,3.0
190,Elias Samson,,,,,,,12.0,38.0,1.0,29.0,48.0,0.0
191,Apollo Crews,,,,,,,42.0,8.0,0.0,125.0,30.0,0.0
192,Samoa Joe,,,,,,,36.0,11.0,1.0,32.0,59.0,4.0
193,Mike Rawlis,,,,,,,9.0,24.0,0.0,,,
194,Tucker Knight,,,,,,,3.0,24.0,1.0,28.0,45.0,0.0
195,Nia Jax,,,,,,,17.0,9.0,0.0,37.0,72.0,1.0
196,Riddick Moss,,,,,,,8.0,17.0,0.0,18.0,55.0,1.0
197,Asuka,,,,,,,24.0,0.0,0.0,112.0,3.0,2.0
198,Rhyno,,,,,,,8.0,16.0,0.0,50.0,13.0,0.0
199,Billie Kay,,,,,,,5.0,15.0,1.0,27.0,50.0,2.0
200,Hugo Knox,,,,,,,13.0,8.0,0.0,24.0,11.0,0.0
201,Lina,,,,,,,9.0,11.0,0.0,,,
202,Macho Mandow,,,,,,,14.0,5.0,0.0,,,
203,Jessie McKay,,,,,,,1.0,17.0,0.0,,,
204,Peyton Royce,,,,,,,2.0,16.0,0.0,20.0,67.0,2.0
205,Uhaa Nation,,,,,,,13.0,3.0,0.0,,,
206,Devin Taylor,,,,,,,6.0,9.0,0.0,,,
207,Alexander Wolfe,,,,,,,0.0,14.0,0.0,37.0,49.0,0.0
208,Tommy Dreamer,,,,,,,4.0,9.0,1.0,,,
209,Levis Valenzuela Jr.,,,,,,,7.0,6.0,0.0,15.0,1.0,0.0
210,Cassie,,,,,,,0.0,12.0,0.0,,,
211,Gionna Daddio,,,,,,,8.0,4.0,0.0,,,
212,Tino Sabbatelli,,,,,,,1.0,11.0,0.0,24.0,50.0,0.0
213,AJ Styles,,,,,,,,,,108.0,68.0,0.0
214,Karl Anderson,,,,,,,,,,31.0,89.0,2.0
215,Luke Gallows,,,,,,,,,,27.0,84.0,2.0
216,Big Cass,,,,,,,,,,61.0,40.0,1.0
217,Shinsuke Nakamura,,,,,,,,,,90.0,4.0,2.0
218,Liv Morgan,,,,,,,,,,42.0,43.0,0.0
219,Aliyah,,,,,,,,,,26.0,51.0,1.0
220,Patrick Clark,,,,,,,,,,26.0,52.0,0.0
221,No Way Jose,,,,,,,,,,56.0,19.0,1.0
222,Daria Berenato,,,,,,,,,,27.0,47.0,0.0
223,Mandy Rose,,,,,,,,,,13.0,54.0,1.0
224,Andrade Almas,,,,,,,,,,40.0,23.0,0.0
225,Austin Aries,,,,,,,,,,37.0,23.0,1.0
226,Rich Swann,,,,,,,,,,41.0,19.0,1.0
227,Bobby Roode,,,,,,,,,,25.0,28.0,1.0
228,Ember Moon,,,,,,,,,,36.0,15.0,0.0
229,Oney Lorcan,,,,,,,,,,32.0,18.0,0.0
230,Tommaso Ciampa,,,,,,,,,,32.0,16.0,0.0
231,Johnny Gargano,,,,,,,,,,32.0,15.0,0.0
232,Shane Thorne,,,,,,,,,,28.0,17.0,0.0
233,Manny Andrade,,,,,,,,,,32.0,12.0,0.0
234,Nick Miller,,,,,,,,,,27.0,17.0,0.0
235,Cedric Alexander,,,,,,,,,,26.0,13.0,0.0
236,Kenneth Crawford,,,,,,,,,,16.0,21.0,0.0
237,Christopher Girard,,,,,,,,,,7.0,28.0,1.0
238,TJ Perkins,,,,,,,,,,22.0,10.0,0.0
239,Charlotte Flair,,,,,,,,,,12.0,18.0,1.0
240,Sunny Dhinsa,,,,,,,,,,11.0,19.0,0.0
241,Lince Dorado,,,,,,,,,,15.0,13.0,1.0
242,Gzim Selmani,,,,,,,,,,11.0,17.0,0.0
243,Adrienne Reese,,,,,,,,,,14.0,12.0,0.0
244,Akam,,,,,,,,,,23.0,3.0,0.0
245,Rezar,,,,,,,,,,23.0,3.0,0.0
246,Dan Matha,,,,,,,,,,7.0,17.0,1.0
247,Josh Woods,,,,,,,,,,9.0,15.0,0.0
248,Lana,,,,,,,,,,3.0,20.0,0.0
249,Niko Bogojevic,,,,,,,,,,7.0,14.0,0.0
250,Adrian Jaoude,,,,,,,,,,5.0,14.0,1.0
251,Otis Dozovic,,,,,,,,,,7.0,13.0,0.0
252,The Brian Kendrick,,,,,,,,,,11.0,9.0,0.0
253,Noam Dar,,,,,,,,,,7.0,12.0,0.0
254,Tony Nese,,,,,,,,,,7.0,12.0,0.0
255,Roderick Strong,,,,,,,,,,13.0,5.0,0.0
256,Eric Young,,,,,,,,,,8.0,9.0,0.0
257,Drew Gulak,,,,,,,,,,3.0,13.0,0.0
258,Kishan Raftar,,,,,,,,,,6.0,10.0,0.0
259,Ariya Daivari,,,,,,,,,,3.0,12.0,0.0
260,Jack Gallagher,,,,,,,,,,12.0,3.0,0.0
261,Nicola Glencross,,,,,,,,,,3.0,12.0,0.0
262,Noah Kekoa,,,,,,,,,,5.0,10.0,0.0
263,Tian Bing,,,,,,,,,,6.0,8.0,0.0
264,Gran Metalik,,,,,,,,,,8.0,5.0,0.0
265,Nikki Cross,,,,,,,,,,8.0,5.0,0.0
266,Noah Potjes,,,,,,,,,,3.0,10.0,0.0
267,Cezar Bononi,,,,,,,,,,1.0,9.0,1.0
268,James Ellsworth,,,,,,,,,,8.0,3.0,0.0
269,Macey Estrella,,,,,,,,,,1.0,10.0,0.0
